id_arbol,direccion,tipo_vereda,lado_vereda,especie,tipo_tendido,distancia_entre_ar,distancia_al_muro,activo,lng,lat
1356,Rivadavia 346,Grande,Par,Palmera,Media Tensión (Con Protección),2.0,2.6,True,-58.84675299375,-27.473495070043
1357,Rivadavia 332,Grande,Par,Palmera,Media Tensión (Con Protección),6.0,2.6,True,-58.846777713301,-27.4734991709779
1358,Salta 1248,Plaza,Par,Tipa,Ninguno,4.0,0.0,True,-58.83952937311,-27.471135159138
1359,Salta 1240,Grande,Par,Lapacho rosado,Ninguno,6.0,0.0,True,-58.8395179189979,-27.4711078061769
1360,Rivadavia 320,Grande,Par,Santa Rita,Media Tensión (Con Protección),8.0,2.1,True,-58.8469322339229,-27.4735001236709
1361,catamarca 1280,Mediana,Par,Braquiquito,Media Tensión (Con Protección),4.0,2.0,True,-58.833578820287,-27.472096605619
1362,Rivadavia 314B,Grande,Par,Sin identificar,Media Tensión (Con Protección),8.0,2.1,True,-58.847074269272,-27.473496295655
1363,Salta 1238,Plaza,Par,Ibirá Pitá,Ninguno,3.0,0.0,True,-58.839523689604,-27.470992281909
1364,Rivadavia 312,Grande,Par,Palmera,Media Tensión (Con Protección),4.0,2.1,True,-58.847163321259,-27.4734900261439
1366,belgrano 1211,Mediana,Impar,Sin identificar,Media Tensión (Con Protección),4.0,2.1,True,-58.836029278389,-27.472153832715
1368,Rivadavia 302,Grande,Par,Palmera,Media Tensión (Con Protección),4.0,2.1,True,-58.847261387085,-27.4734727800879
1369,Salta 1224,Plaza,Par,Tipa,Ninguno,5.0,0.0,True,-58.8395215701309,-27.4708663889089
1370,san juan 1283,Mediana,Impar,Sin identificar,Ninguno,6.0,1.4,True,-58.8371783652129,-27.471954020312
1372,Salta 1210,Plaza,Par,Tipa,Ninguno,4.0,0.0,True,-58.8395069332039,-27.470760454436
1373,belgrano 1155,Grande,Impar,Sin identificar,Ninguno,6.0,2.3,True,-58.8366795505979,-27.472065399087
1374,Bolívar 896,Plaza,Par,Chivato,Ninguno,9.0,0.0,True,-58.8395394529839,-27.470739022951
1377,Bolívar 878,Mediana,Par,Chivato,Ninguno,8.0,0.0,True,-58.83971480416,-27.470721874283
1331,3 de abril 0827,Grande,Impar,Falso mirto,Media Tensión (Con Protección),1.8,2.3,True,-58.840729448299,-27.4749976083139
1333,3 de abril 0827,Grande,Impar,Falso mirto,Media Tensión (Sin Protección),2.0,2.3,True,-58.840705895733,-27.4749992096009
1334,3 de abril 0827,Grande,Par,Falso mirto,Media Tensión (Sin Protección),6.0,2.4,True,-58.840666349984,-27.4750008186939
1336,3 de abril 0827,Grande,Impar,Falso mirto,Media Tensión (Sin Protección),2.0,2.3,True,-58.840621275109,-27.475000001468
1381,Bolívar 855,Grande,Par,Chivato,Ninguno,6.0,0.0,True,-58.840286907395,-27.4706841376209
1384,Rivadavia,Chica,Impar,Falso paraiso,Alta tensión (Con Protección),41.0,1.2,True,-58.833675334961,-27.474600154631
1385,Catamarca,Chica,Impar,Fresno,Alta tensión (Con Protección),6.0,1.2,True,-58.833715709305,-27.474494186825
1387,Catamarca,Chica,Impar,Fresno,Alta tensión (Con Protección),80.0,1.2,True,-58.833723156719,-27.474356256854
1389,Catamarca,Chica,Par,Fresno,Alta tensión (Con Protección),37.0,5.0,True,-58.8337635390019,-27.474902546056
1391,Catamarca,Chica,Impar,Fresno,Alta tensión (Con Protección),5.0,1.2,True,-58.8337851684069,-27.4750317218429
1393,Catamarca,Chica,Impar,Palito dulce,Alta tensión (Con Protección),40.0,1.2,True,-58.833822465493,-27.4753345648369
1395,Catamarca,Chica,Impar,Palito dulce,Alta tensión (Con Protección),50.0,1.2,True,-58.833825703421,-27.475519428302
1396,Bolívar 800,Plaza,Par,Lapacho rosado,Ninguno,6.0,0.0,True,-58.840680788331,-27.470662729526
1292,Moreno 1204,Mediana,Par,Tulipanero,Alta tensión (Con Protección),12.0,3.0,True,-58.8361450535949,-27.4733070609979
1238,Mendoza 1483,Chica,Impar,Coquito de San Juan,Alta tensión (Con Protección),6.0,2.7,True,-58.8363919612909,-27.474683496126
1274,Santa Fe 1021,Mediana,Impar,Fresno,Media Tensión (Con Protección),9.0,2.5,True,-58.830600378529,-27.469321354718
1099,San Luis 1524,Grande,Par,Palito dulce,Media Tensión (Con Protección),3.0,3.0,True,-58.8435584408429,-27.4740043824869
1100,San Luis 1524,Grande,Par,Palito dulce,Media Tensión (Con Protección),3.0,3.0,True,-58.8435492630979,-27.473936432933
1074,pje . Julio Cortaza 1200,Grande,Impar,Tulipanero,Ninguno,4.0,3.0,True,-58.852546701968,-27.4708038640129
1036,San luis 1167,Mediana,Impar,Platano,Media Tensión (Con Protección),10.0,2.5,True,-58.8431446142069,-27.4701998182479
587,Monoblok11,Grande,Par,Palta,Media Tensión (Sin Protección),18.0,1.5,True,-58.847583337086,-27.472883064293
1397,Don bosco monoblock 39,Grande,Impar,Fresno,Ninguno,14.0,4.5,True,-58.8498958110929,-27.473527756492
1398,Don bosco monoblock 37,Grande,Impar,Naranjo agrio,Ninguno,8.0,4.5,True,-58.84985051622,-27.4731865661809
1403,Don bosco al 1400,Grande,Par,Fresno,Ninguno,10.0,5.0,True,-58.849753883507,-27.4723524299529
1404,Don bosco al 1400,Grande,Par,Fresno,Ninguno,10.0,5.0,True,-58.8497528027729,-27.472403526295
1405,Don bosco al 1500,Grande,Par,Fresno,Media Tensión (Con Protección),10.0,5.0,True,-58.8497675271529,-27.4725389647129
