gid,nombre_plaza,ordenanza,clasificacion,id_barrios,nombre_barrio,ubicacion,st_asgeojson
199,VIRGEN DE LOS DOLORES,S/D,PLAZA,105,VIRGEN DE LOS DOLORES,GUTNISKY-MONTES DE OCA,"{""type"":""Polygon"",""coordinates"":[[[-58.8517873674536,-27.4886904865141],[-58.8517578177817,-27.4890145122216],[-58.8519457764606,-27.488983549958],[-58.8519884179264,-27.4887311790077],[-58.8517873674536,-27.4886904865141]]]}"
69,PROF. HECTOR ZIMMERMAN,S/D,PLAZOLETA,99,VICTOR COLAS,PALMAR GRANDE-NAZARIO BENAVIDEZ-LOS COCOS,"{""type"":""Polygon"",""coordinates"":[[[-58.7825835099476,-27.461979159086],[-58.7827685859111,-27.4620637870091],[-58.7828512041389,-27.4619207767794],[-58.7829114709812,-27.4618164568011],[-58.7826378742079,-27.461801341971],[-58.7825835099476,-27.461979159086]]]}"
72,S/N,S/D,ESPACIO VERDE,59,NTRA SRA DE LA ASUNCION,YUGOSLAVIA-RIO DE JANEIRO,"{""type"":""Polygon"",""coordinates"":[[[-58.792949872788,-27.4963104476226],[-58.7929673235185,-27.4966591908782],[-58.7932212297346,-27.4966066892475],[-58.7934710943516,-27.4965550228397],[-58.7933355044067,-27.4962307077586],[-58.792949872788,-27.4963104476226]]]}"
125,TTE. PEDRO ARAMBURU,1044,PLAZA,9,ARAZATI,DR. ESIO ARIEL SILVEIRA-PUENTE GRAL MANUEL BELGRANO,"{""type"":""Polygon"",""coordinates"":[[[-58.852030177444,-27.4738979660169],[-58.8519312309906,-27.4739309247151],[-58.8518391724229,-27.4739791462112],[-58.8517579005236,-27.474040893236],[-58.8516898846893,-27.4741142896577],[-58.8516371915539,-27.4741971053837],[-58.8516269712688,-27.4742166459078],[-58.8516032481116,-27.4742802435535],[-58.8515922671198,-27.4743465492755],[-58.8515943619675,-27.4744135484117],[-58.8516094690274,-27.4744792052272],[-58.8516371293009,-27.4745415247697],[-58.8516765023623,-27.4745986134848],[-58.8517263918923,-27.4746487367519],[-58.8517898533659,-27.4746981616828],[-58.851887559051,-27.4747536642714],[-58.8519945862547,-27.4747931908718],[-58.8521076829715,-27.4748155404697],[-58.8522876831346,-27.4747936777956],[-58.8526547027636,-27.4747463528363],[-58.8531733752495,-27.4746791616472],[-58.8536018918171,-27.4746232271789],[-58.8541097215873,-27.4745576576206],[-58.8541315951252,-27.4745548392456],[-58.8541518118417,-27.4745172744392],[-58.8541787920112,-27.4744430922502],[-58.8541909197647,-27.4743658583414],[-58.8542046467517,-27.4741929038461],[-58.8542248173325,-27.4739544930508],[-58.8542347659963,-27.4739019040689],[-58.8542649590939,-27.4738168190474],[-58.8542745271684,-27.4737319023283],[-58.8542619796203,-27.4736408966575],[-58.8542535190417,-27.4736062039765],[-58.8542541371872,-27.4736046758779],[-58.8542544930923,-27.4736029249343],[-58.8542545027026,-27.4736011454681],[-58.8542541657261,-27.4735993915475],[-58.8542534924016,-27.4735977164645],[-58.8542525031878,-27.4735961711157],[-58.8542512281415,-27.4735948024557],[-58.8542497060043,-27.4735936520706],[-58.8542479830256,-27.4735927549141],[-58.8542461115572,-27.4735921382459],[-58.8537065034563,-27.4736583814565],[-58.8524742725021,-27.4738332391451],[-58.8521544589774,-27.4738748170523],[-58.8521439126187,-27.4738759379957],[-58.852030177444,-27.4738979660169]]]}"
133,S/N,S/D,ESPACIO VERDE,49,LAGUNA BRAVA,6 DE MAYO-MOCITO ACUÑA-MTRO. SEVERO FERNANDEZ-GRAL. JOAQUIN DE MADARIAGA,"{""type"":""Polygon"",""coordinates"":[[[-58.7176382140269,-27.4922957157124],[-58.7177017853263,-27.4926278341218],[-58.7183123835303,-27.4925461831201],[-58.7183203542106,-27.49259356255],[-58.7185767264888,-27.4925675660059],[-58.7185129630244,-27.4921800717708],[-58.7176382140269,-27.4922957157124]]]}"
151,ARAZATY,S/D,PASEO,9,ARAZATI,AV.COSTANERA SUR JUAN PABLO II-DR. ESIO ARIEL SILVEIRA-LAVALLE,"{""type"":""Polygon"",""coordinates"":[[[-58.85551911171,-27.4734379333207],[-58.8548145208212,-27.4735486417773],[-58.8546082063166,-27.4736020023972],[-58.854494429587,-27.4736607122739],[-58.8543855591087,-27.4737424031814],[-58.8543326990575,-27.4738796127327],[-58.8543006507591,-27.4739940527724],[-58.8542833689354,-27.4741728484313],[-58.854297423624,-27.4743060204608],[-58.8543372916047,-27.4744302286094],[-58.8543783672785,-27.4745283950801],[-58.8543998923027,-27.4746104596778],[-58.8543937934931,-27.4746954316288],[-58.8543960551547,-27.4747029263991],[-58.8544018091135,-27.4747120146839],[-58.8544143203839,-27.4747274176824],[-58.8544346534598,-27.4747404509432],[-58.85446013167,-27.4747460503774],[-58.854480583432,-27.4747476095725],[-58.8556249432246,-27.4746062756696],[-58.8556143257756,-27.4742800091003],[-58.8556299149359,-27.4737382874499],[-58.8555967280877,-27.473468872152],[-58.85551911171,-27.4734379333207]]]}"
74,S/N,S/D,ESPACIO VERDE,59,NTRA SRA DE LA ASUNCION,PALERMO-RENACIMIENTO,"{""type"":""Polygon"",""coordinates"":[[[-58.7925146103557,-27.4966099043113],[-58.7925910829127,-27.4970378202739],[-58.7928341230678,-27.4970032813838],[-58.7928116127913,-27.4965676966014],[-58.7925146103557,-27.4966099043113]]]}"
101,CABRAL,S/D,PLAZA,17,CENTRO,HIPOLITO IRIGOYEN-SAN LORENZO-JUNIN-SANTA FE,"{""type"":""Polygon"",""coordinates"":[[[-58.8317241611679,-27.4682281836657],[-58.83172046214,-27.4681919251826],[-58.8317076768074,-27.4681763824436],[-58.8316967769842,-27.4681678509596],[-58.8316843818556,-27.468161136997],[-58.8316708680088,-27.4681564452594],[-58.8316566460341,-27.4681539177895],[-58.8312504875275,-27.4681893065419],[-58.8306425983094,-27.4682452434783],[-58.830623303009,-27.4682530892087],[-58.8306102454193,-27.4682615743422],[-58.8305990382622,-27.4682719533038],[-58.8305900218568,-27.4682839104659],[-58.8305815909906,-27.4682985160181],[-58.8305844862096,-27.4683258673498],[-58.8306154515279,-27.4683249416384],[-58.830655113481,-27.4685806923352],[-58.8306852673532,-27.468775131726],[-58.8307216860521,-27.4690830753264],[-58.8306978256918,-27.4690858534875],[-58.8306998346199,-27.4690938945914],[-58.8306992980016,-27.4691024672971],[-58.8307013176405,-27.4691121664351],[-58.8307089453991,-27.4691261511936],[-58.8307214756615,-27.469136965407],[-58.8307291252341,-27.4691407564819],[-58.8307460387822,-27.4691445335303],[-58.8317575909387,-27.4690473580204],[-58.8317820799866,-27.4690366304312],[-58.8318009788519,-27.4690190787927],[-58.8318120076018,-27.4689968204063],[-58.8318141127835,-27.468984751474],[-58.8318129370064,-27.4689724749318],[-58.8318084955094,-27.4689261002871],[-58.8317615416218,-27.4689278216915],[-58.8316806299729,-27.4682311250821],[-58.8317241611679,-27.4682281836657]]]}"
198,S/N,S/D,ESPACIO VERDE,34,GALVAN,DIAZ DE VIVAR-AGUTÍ-RIO IGUAZU,"{""type"":""Polygon"",""coordinates"":[[[-58.8531379807182,-27.4837296318671],[-58.8531581592639,-27.4838398063944],[-58.8531692629147,-27.4838871810928],[-58.85320282718,-27.4840303857366],[-58.8533983110399,-27.4839971516237],[-58.8531650117098,-27.4837250362399],[-58.8531379807182,-27.4837296318671]]]}"
105,SANTA RITA DE CASIA,6990,PLAZOLETA,99,VICTOR COLAS,PEDRO ESNAOLA-DARDO ROCHA-DARDO ROCHA,"{""type"":""Polygon"",""coordinates"":[[[-58.7881229324272,-27.4653034238424],[-58.7879764935075,-27.4649755010685],[-58.7875989257129,-27.4651710864943],[-58.7881229324272,-27.4653034238424]]]}"
106,LOS AMIGOS DE LA CULTURA,2739,PLAZA,48,LA ROSADA,CARLOS PELLEGRINI-BRASIL-GDOR. JUAN PUJOL,"{""type"":""Polygon"",""coordinates"":[[[-58.822894834089,-27.4664841145333],[-58.823698025592,-27.4664174598345],[-58.8235963252134,-27.4656974789307],[-58.8227795696869,-27.4664083699115],[-58.8228045556738,-27.466452585579],[-58.822894834089,-27.4664841145333]]]}"
134,S/N,S/D,PLAZA,26,CRISTOBAL COLON,RAFAELA-S/N-IBERA-EL MAESTRO-B. CRISTOBAL COLON,"{""type"":""Polygon"",""coordinates"":[[[-58.829325886999,-27.4980789173774],[-58.8293665338892,-27.4983042993351],[-58.8295953050619,-27.4982714914213],[-58.8295546567007,-27.4980461095067],[-58.829325886999,-27.4980789173774]]]}"
135,S/N,S/D,ESPACIO VERDE,26,CRISTOBAL COLON,RAFAELA-S/N-IBERA-EL MAESTRO-B. CRISTOBAL COLON,"{""type"":""Polygon"",""coordinates"":[[[-58.8285884237697,-27.4975436796424],[-58.8286269126189,-27.4977693630423],[-58.8287619568893,-27.4977510497543],[-58.8287234677681,-27.4975253663829],[-58.8285884237697,-27.4975436796424]]]}"
136,S/N,S/D,ESPACIO VERDE,26,CRISTOBAL COLON,RAFAELA-S/N-IBERA-EL MAESTROB. CRISTOBAL COLON,"{""type"":""Polygon"",""coordinates"":[[[-58.8287011013912,-27.4981732936856],[-58.828741751085,-27.4983986749161],[-58.8288766167811,-27.4983793323043],[-58.828835964793,-27.4981539510872],[-58.8287011013912,-27.4981732936856]]]}"
137,S/N,S/D,ESPACIO VERDE,26,CRISTOBAL COLON,RAFAELA-S/N-EL MAESTRO-IBERA-B. CRISTOBAL COLON,"{""type"":""Polygon"",""coordinates"":[[[-58.8279494425416,-27.497511687715],[-58.8280077064317,-27.4978533354232],[-58.8281707603141,-27.4978312226245],[-58.8281124959171,-27.4974895758704],[-58.8279494425416,-27.497511687715]]]}"
138,S/N,S/D,ESPACIO VERDE,26,CRISTOBAL COLON,RAFAELA-S/N-IBERA-EL MAESTRO-B. CRISTOBAL COLON,"{""type"":""Polygon"",""coordinates"":[[[-58.8280827202874,-27.4982619824322],[-58.8281444185519,-27.498604063227],[-58.8283072549527,-27.4985807095958],[-58.8282455572132,-27.4982386279631],[-58.8280827202874,-27.4982619824322]]]}"
139,S/N,S/D,ESPACIO VERDE,20,CIUDAD DE ESTEPA,RAFAELA-DR. VALERIO BONASTRE-IBERA-B.CIUDAD DE ESTEPA,"{""type"":""Polygon"",""coordinates"":[[[-58.8311699613269,-27.4969903688802],[-58.8312156190002,-27.4972473831996],[-58.8314154918966,-27.4972191486993],[-58.8313698347772,-27.4969621344388],[-58.8311699613269,-27.4969903688802]]]}"
140,S/N,S/D,ESPACIO VERDE,20,CIUDAD DE ESTEPA,RAFAELA-DR. VALERIO BONASTRE-IBERA-B.CIUDAD DE ESTEPA,"{""type"":""Polygon"",""coordinates"":[[[-58.8313671617032,-27.4981339508694],[-58.8315670371919,-27.4981057162121],[-58.8315213794332,-27.4978487020113],[-58.8313215044023,-27.4978769366181],[-58.8313671617032,-27.4981339508694]]]}"
141,S/N,S/D,ESPACIO VERDE,20,CIUDAD DE ESTEPA,RAFAELA-JOSE MANUEL ESTRADA-IBERA-B.CIUDAD DE ESTEPA,"{""type"":""Polygon"",""coordinates"":[[[-58.8319535262661,-27.4977819712603],[-58.8319991850033,-27.4980389862544],[-58.8321990602033,-27.498010749776],[-58.8321533999773,-27.4977537366284],[-58.8319535262661,-27.4977819712603]]]}"
142,S/N,S/D,ESPACIO VERDE,20,CIUDAD DE ESTEPA,RAFAELA-JOSE MANUEL ESTRADA-IBERA-B.CIUDAD DE ESTEPA,"{""type"":""Polygon"",""coordinates"":[[[-58.8317934433133,-27.496898960568],[-58.8318391024137,-27.49715597473],[-58.8320389750201,-27.4971277393235],[-58.8319933164735,-27.4968707252204],[-58.8317934433133,-27.496898960568]]]}"
143,S/N,S/D,ESPACIO VERDE,20,CIUDAD DE ESTEPA,RAFAELA-CIUDAD DE AREQUIPA-IBERA-B.CIUDAD DE ESTEPA,"{""type"":""Polygon"",""coordinates"":[[[-58.8335031027407,-27.4965140291231],[-58.8335641100954,-27.4968114505344],[-58.8337019618063,-27.4967889656169],[-58.8336409530865,-27.4964915433433],[-58.8335031027407,-27.4965140291231]]]}"
152,PLAZA DE LOS COSTITUYENTES,S/D,PLAZA,87,SANTA MARIA,RIO LIMAY- TRIUNVIRATO- CONGRESO- RICARDO GUTIERREZ,"{""type"":""Polygon"",""coordinates"":[[[-58.8355486355552,-27.492664022002],[-58.8353875380016,-27.491727809388],[-58.834595890804,-27.4918294388273],[-58.8346686191135,-27.492221615213],[-58.8344696858372,-27.4922481274556],[-58.8345695112124,-27.4927921090996],[-58.8355486355552,-27.492664022002]]]}"
153,MONSEÑOR DR. LUIS MARIA NIELLA,3111,PLAZA,3,9 DE JULIO,PITAGORAS-RESOAGLI-LARREA-LAS PIEDRAS,"{""type"":""Polygon"",""coordinates"":[[[-58.8048097673404,-27.49124283039],[-58.8043196285762,-27.4904454578695],[-58.8036286477526,-27.4907814999817],[-58.804114999367,-27.4915714939591],[-58.8048097673404,-27.49124283039]]]}"
6,S/N,S/D,ESPACIO VERDE,80,SAN IGNACIO,AMANDA ETCHEGUREN-ING. ELISA BEATRIZ BACHOFEN-ING. JEAN COURBON-SANTA LIBRADA,"{""type"":""Polygon"",""coordinates"":[[[-58.7712838326259,-27.4810081607455],[-58.7706658634181,-27.4811510566981],[-58.7707845879479,-27.4815561188432],[-58.771420091877,-27.48143380336],[-58.7712838326259,-27.4810081607455]]]}"
31,S/N,S/D,PLAZA,124,,FERRAU JOSE RAMON-CARMELO FERNANDEZ,"{""type"":""Polygon"",""coordinates"":[[[-58.7774778261602,-27.5177621223684],[-58.7777350949446,-27.5181661276087],[-58.7779115942733,-27.5180778033242],[-58.7780880933261,-27.5179894788054],[-58.777830892378,-27.5175854397004],[-58.7774778261602,-27.5177621223684]]]}"
55,S/N,S/D,ESPACIO VERDE,86,SAN ROQUE,JUANA DE IBARBOUROU- ROBERTO ARLT,"{""type"":""Polygon"",""coordinates"":[[[-58.8022953550561,-27.5086438673164],[-58.8023691106948,-27.5091393909724],[-58.8031704463555,-27.5090557160675],[-58.8030194004157,-27.5085682917237],[-58.8022953550561,-27.5086438673164]]]}"
29,EX COMBATIENTES DE MALVINAS,4280,PLAZA,33,FRAY J DE LA QUINTANA,DOÑA MARIA CLOTILDE LIBRADA NIELLA Y VALLEJOS DE AZCOAGA-CANGALLO-PROF. DR. FRANCISCO FERNANDEZ BLASCO DE LA MOREDA,"{""type"":""Polygon"",""coordinates"":[[[-58.7977915592007,-27.508640838013],[-58.7971006732409,-27.5086899261645],[-58.7971455096098,-27.5092840831951],[-58.7977985148948,-27.5088287200151],[-58.7977915592007,-27.508640838013]]]}"
54,DR. ALFREDO RAMÓN MACHUCA,6946,PLAZA,33,FRAY J DE LA QUINTANA,CALLE 502-CANGALLO-SANCHEZ DE BUSTAMANTE,"{""type"":""Polygon"",""coordinates"":[[[-58.7915765631317,-27.5086972641358],[-58.7916319583323,-27.5090994851485],[-58.7922566329331,-27.5089944794327],[-58.7915765631317,-27.5086972641358]]]}"
144,S/N,S/D,ESPACIO VERDE,20,CIUDAD DE ESTEPA,RAFAELA-CIUDAD DE AREQUIPA-IBERA-B.CIUDAD DE ESTEPA,"{""type"":""Polygon"",""coordinates"":[[[-58.8337135237164,-27.4975234449335],[-58.8337777711887,-27.497821518694],[-58.8338815803093,-27.497801200537],[-58.8338178563004,-27.4975055622471],[-58.8337135237164,-27.4975234449335]]]}"
145,PIRAGINE NIVEYRO,S/D,PLAZOLETA,4,ALDANA,GDOR. JUAN PUJOL-GDOR. CNEL. SANTIAGO BAIBIENE-GDOR. MANUEL I. LAGRAÑA,"{""type"":""Polygon"",""coordinates"":[[[-58.8260720163156,-27.463017075071],[-58.8260698097949,-27.463017485979],[-58.8260676207732,-27.4630179638068],[-58.8260654522756,-27.4630185094822],[-58.8260633063344,-27.4630191221202],[-58.8260611849821,-27.4630198008354],[-58.8260590912723,-27.463020543849],[-58.8260570272279,-27.463021351178],[-58.8260549958929,-27.4630222219457],[-58.8260530003111,-27.4630231552756],[-58.8260510415134,-27.4630241493715],[-58.8260491225435,-27.4630252033568],[-58.826047245434,-27.4630263163465],[-58.826045413248,-27.4630274856591],[-58.8260436269873,-27.4630287122057],[-58.8260418897247,-27.4630299924027],[-58.8260402024812,-27.4630313253564],[-58.8260385693216,-27.4630327092965],[-58.8260369902558,-27.4630341433207],[-58.8260354673255,-27.4630356256415],[-58.8260340025826,-27.4630371535693],[-58.826032599071,-27.4630387262274],[-58.8260312568192,-27.463040340909],[-58.8260299778695,-27.4630419958268],[-58.8260287642543,-27.4630436900955],[-58.8260276170233,-27.4630454201146],[-58.826026538209,-27.463047184999],[-58.8260255278497,-27.4630489811396],[-58.8260245879682,-27.4630508085536],[-58.8260237196144,-27.4630526636404],[-58.8260229238283,-27.4630545437019],[-58.8260222006195,-27.4630564478358],[-58.8260215530511,-27.4630583733609],[-58.8260209801404,-27.463060317562],[-58.8260335084998,-27.4634436423319],[-58.8260339795962,-27.4634452930538],[-58.8260345156087,-27.4634469271788],[-58.8260351155256,-27.4634485446982],[-58.8260357773623,-27.463450141986],[-58.8260365021399,-27.4634517181486],[-58.8260372878736,-27.4634532695598],[-58.8260381345539,-27.4634547971219],[-58.8260390402057,-27.4634562963066],[-58.8260400038269,-27.4634577662032],[-58.8260410244157,-27.4634592059008],[-58.8260421009893,-27.4634606126841],[-58.8260432315343,-27.463461985634],[-58.826044415068,-27.463463322035],[-58.8260456505979,-27.4634646200743],[-58.8260469361011,-27.4634658797346],[-58.8260482705949,-27.4634670983008],[-58.8260496510638,-27.4634682739428],[-58.826051077508,-27.4634694066605],[-58.8260525469121,-27.463470494624],[-58.8260540582933,-27.4634715351178],[-58.8260556096286,-27.463472528125],[-58.8260571989047,-27.4634734727263],[-58.8260588241178,-27.4634743671001],[-58.8260604822524,-27.4634752094162],[-58.8260621743107,-27.4634760005857],[-58.8260638952638,-27.4634767378589],[-58.8260656440906,-27.4634774221296],[-58.8260674177856,-27.4634780506656],[-58.8260692163486,-27.4634786234668],[-58.8260710357338,-27.4634791404991],[-58.8260728739373,-27.463479599941],[-58.8260747299476,-27.4634800017838],[-58.826076599719,-27.4634803459936],[-58.8260784822493,-27.4634806316596],[-58.8260803745138,-27.4634808578538],[-58.82608227448,-27.4634810254616],[-58.8260841801248,-27.4634811344659],[-58.8260860884331,-27.4634811830365],[-58.8260879983741,-27.4634811729694],[-58.8260899059212,-27.4634811024261],[-58.8260918100437,-27.4634809732025],[-58.8260937077168,-27.4634807843709],[-58.8265919363133,-27.4631337969347],[-58.8265942951592,-27.4631318019096],[-58.8265965748536,-27.4631297349335],[-58.8265987733544,-27.4631275977939],[-58.8266008855661,-27.4631253940571],[-58.8266029114599,-27.4631231264299],[-58.8266048469709,-27.4631207966828],[-58.826606691059,-27.4631184075139],[-58.826608440642,-27.4631159634088],[-58.8266100926663,-27.4631134661467],[-58.8266116470938,-27.4631109193364],[-58.8266131008614,-27.4631083256591],[-58.8266144519174,-27.4631056878046],[-58.8266156992026,-27.4631030102755],[-58.8266168416865,-27.4631002948679],[-58.8266178772984,-27.4630975460759],[-58.8266188049885,-27.4630947675],[-58.8266196227148,-27.4630919609277],[-58.8266203314411,-27.4630891308787],[-58.8266209291157,-27.4630862800428],[-58.826621413668,-27.4630834129141],[-58.8266217870922,-27.4630805322164],[-58.8266220473271,-27.4630776415418],[-58.8266221953461,-27.4630747445076],[-58.8266222290879,-27.4630718447058],[-58.8266221505374,-27.4630689457626],[-58.8266219576333,-27.4630660512698],[-58.82662165237,-27.4630631639512],[-58.8266212346996,-27.4630602883181],[-58.8266207045936,-27.4630574270773],[-58.8266200630252,-27.4630545838461],[-58.8266193109581,-27.4630517631445],[-58.8266184493847,-27.4630489667854],[-58.8266174782572,-27.4630461992801],[-58.8266164005813,-27.4630434633608],[-58.8266152163189,-27.4630407626366],[-58.8266139274547,-27.4630381007335],[-58.8266125349715,-27.4630354803667],[-58.8266110408541,-27.4630329051624],[-58.8266094471062,-27.463030376942],[-58.826607755703,-27.4630279002338],[-58.8266059686389,-27.4630254777617],[-58.82660408891,-27.4630231131602],[-58.8266021165068,-27.4630208073314],[-58.8266000564484,-27.4630185639271],[-58.8265979086966,-27.4630163865562],[-58.8265956782896,-27.4630142770659],[-58.8265933662007,-27.4630122390736],[-58.8265909764758,-27.4630102726134],[-58.8265885110805,-27.4630083831159],[-58.8265859730492,-27.4630065706066],[-58.8265833663991,-27.4630048378264],[-58.8265806931245,-27.463003187499],[-58.8265779572521,-27.463001621463],[-58.8265751617973,-27.4630001415485],[-58.8265723097849,-27.4629987486834],[-58.8265694062436,-27.4629974456169],[-58.8260720163156,-27.463017075071]]]}"
154,S/N,S/D,ESPACIO VERDE,3,9 DE JULIO,PITAGORAS-DR. MIGUEL SUSSINI,"{""type"":""Polygon"",""coordinates"":[[[-58.8010535053017,-27.4928949382993],[-58.8006784000883,-27.4928514225748],[-58.8006488785523,-27.493129044852],[-58.8010225161676,-27.4931588709274],[-58.8010535053017,-27.4928949382993]]]}"
146,S/N,S/D,PLAZOLETA,8,APIPE,ARGERICH-GOROSTIAGA,"{""type"":""Polygon"",""coordinates"":[[[-58.7821384033842,-27.4598038004217],[-58.7824360049613,-27.459765025693],[-58.7824017021784,-27.4595629924369],[-58.7823923277737,-27.459564284684],[-58.7821384033842,-27.4598038004217]]]}"
157,ESPERANZA,S/D,PLAZA,110,ESPERANZA,RODOLFO TELECHEA-PROF. GUSTAVO REVIDATTI-DON SAMUEL GUTNISKY,"{""type"":""Polygon"",""coordinates"":[[[-58.785673690554,-27.5451387345199],[-58.7856206850071,-27.5456254042217],[-58.7861193154715,-27.5456856765019],[-58.7861739528509,-27.5451794361835],[-58.785673690554,-27.5451387345199]]]}"
229,S/N,S/D,ESPACIO VERDE,55,MALVINAS ARGENTINAS,COSQUIN-EL MAESTRO-RAFAELA-B. MALVINAS ARGENTINAS,"{""type"":""Polygon"",""coordinates"":[[[-58.8273838786534,-27.4954200988407],[-58.8274124381792,-27.49538419128],[-58.8275815127927,-27.4953585494655],[-58.8275381676236,-27.4951312791965],[-58.8273346809584,-27.4951621404496],[-58.8273838786534,-27.4954200988407]]]}"
33,S/N,S/D,ESPACIO VERDE,66,PIRAYUI,SUECIA-S/N (1034),"{""type"":""Polygon"",""coordinates"":[[[-58.787645561114,-27.5045307750211],[-58.7876389315042,-27.5051356207799],[-58.788621646531,-27.5049510368641],[-58.7886177277193,-27.5044394877053],[-58.787645561114,-27.5045307750211]]]}"
35,MARTIN FIERRO,3512/72,PLAZA,60,NUESTRA SRA DE LA POMPEYA,GDOR. JUAN PUJOL-GDOR. RUIZ,"{""type"":""Polygon"",""coordinates"":[[[-58.8218459197973,-27.4665970978982],[-58.8218481449384,-27.4665941977242],[-58.8218511191043,-27.46658886279],[-58.8218530095044,-27.4665831482307],[-58.8218537587001,-27.4665772276805],[-58.8218533439276,-27.4665712810324],[-58.8218517777897,-27.4665654889721],[-58.821849107873,-27.4665600274885],[-58.8218454153017,-27.466555062526],[-58.8218408122726,-27.4665507449423],[-58.8218354386466,-27.466547205925],[-58.8218294576985,-27.4665445530052],[-58.8218230511563,-27.4665428667905],[-58.8218164136794,-27.4665421985156],[-58.821809746944,-27.4665425684857],[-58.8213805617389,-27.4666725711467],[-58.8213207233112,-27.4667251215149],[-58.8213207233112,-27.4667251215149],[-58.8213147731721,-27.4667358879522],[-58.8213109872068,-27.4667500467984],[-58.8213120608909,-27.466762389036],[-58.8213162755891,-27.4667767060368],[-58.8213232155569,-27.4667868565596],[-58.8213330345801,-27.4667976994577],[-58.8214483703128,-27.4668627270647],[-58.821627010087,-27.4669617351497],[-58.8216432582275,-27.4669634943481],[-58.8216603347477,-27.4669625717499],[-58.8216749210333,-27.4669578225075],[-58.8216861490437,-27.4669503739053],[-58.8216956163452,-27.4669410718237],[-58.8217033483293,-27.4669300593596],[-58.8217056454708,-27.4669200885372],[-58.8217254910885,-27.4668024850899],[-58.8217742810752,-27.4666931074471],[-58.8218459197973,-27.4665970978982]]]}"
36,S/N,S/D,ESPACIO VERDE,37,GUEMES INVICO,LAS HERAS-PTE. DR. ARTURO FRONDIZI-PAIUBRE,"{""type"":""Polygon"",""coordinates"":[[[-58.794635458854,-27.4853869907169],[-58.7946791352237,-27.485945292306],[-58.7949402249728,-27.4859121071522],[-58.7948978651762,-27.4853706620963],[-58.794635458854,-27.4853869907169]]]}"
84,S/N,S/D,ESPACIO DEPORTIVO,44,JOSE MARIA PONCE,PEDRO FRANCISCO MORESI-CESAR ALVAREZ,"{""type"":""Polygon"",""coordinates"":[[[-58.7713469402915,-27.492904486698],[-58.7713268712543,-27.492778684728],[-58.7716232791575,-27.4927410800554],[-58.7715692464906,-27.4924023832984],[-58.7707528397162,-27.4925390291969],[-58.7707812936649,-27.4927173977882],[-58.7713469402915,-27.492904486698]]]}"
155,TTE. GRAL. JULIO A. ROCA,900/79,PLAZA,51,LIBERTAD,JUNIN-VELEZ SARSFIELD-GDOR. JUAN PUJOL,"{""type"":""Polygon"",""coordinates"":[[[-58.8201546584203,-27.4690595801279],[-58.8201154209051,-27.4687960084786],[-58.8201122791598,-27.4687873274176],[-58.8201058958214,-27.4687793400908],[-58.8200834120485,-27.4687647255],[-58.8200616599496,-27.4687573291378],[-58.8200341640149,-27.4687578173318],[-58.8200219907568,-27.4687620413892],[-58.8200089398876,-27.4687727488367],[-58.8199656757382,-27.4688113271549],[-58.8198873396891,-27.468878456338],[-58.8197918795054,-27.4689591431872],[-58.8197290503468,-27.4690127008545],[-58.8197126195165,-27.4690370824807],[-58.8197067527048,-27.4690565052328],[-58.8197097638072,-27.4690774456474],[-58.8197160241989,-27.4690969711992],[-58.8197311778791,-27.4691165721364],[-58.819749650002,-27.4691282679668],[-58.8197689767079,-27.46913564382],[-58.8197802647062,-27.4691386243135],[-58.8200450066252,-27.4691062503465],[-58.8201138196456,-27.469098179041],[-58.8201300199794,-27.4690954315076],[-58.8201397908712,-27.4690890234752],[-58.8201528878497,-27.4690739891882],[-58.8201546584203,-27.4690595801279]]]}"
158,S/N,S/D,ESPACIO VERDE,110,ESPERANZA,DR. OSCAR LOMBARDERO-MARIO JOSE PAYES-PJE. 733,"{""type"":""Polygon"",""coordinates"":[[[-58.7906632615826,-27.5475270465356],[-58.7903844785295,-27.547491630556],[-58.790425985477,-27.5479130756401],[-58.7907305856002,-27.5479515944911],[-58.7906632615826,-27.5475270465356]]]}"
159,DR. MARIO JOSÉ PAYES,5759,PLAZA,133,ZONA SUR PONCE,ROMULO GREGORIO ARTIEDA-JOHNNY BERH,"{""type"":""Polygon"",""coordinates"":[[[-58.7699416318802,-27.5013436194107],[-58.7706197339226,-27.5012598118025],[-58.7705656376339,-27.5009396829499],[-58.7698934718749,-27.5010337713001],[-58.7699416318802,-27.5013436194107]]]}"
38,S/N,S/D,ESPACIO DEPORTIVO,84,SAN MARCOS,MAIPÚ- LOS ALPES- ROQUE LIBRADO GONZALEZ,"{""type"":""Polygon"",""coordinates"":[[[-58.8217683011778,-27.4883435585242],[-58.8215265716073,-27.4886624425727],[-58.8218026608448,-27.4888372841979],[-58.8220510014319,-27.4885132078063],[-58.8217683011778,-27.4883435585242]]]}"
76,S/N,S/D,ESPACIO VERDE,8,APIPE,SICILIA-PEDRO COLODRERO-JUAN JOSE LUBARY,"{""type"":""Polygon"",""coordinates"":[[[-58.7825669538213,-27.4584974128901],[-58.7826426571038,-27.4589434687412],[-58.7831427557764,-27.4588763172867],[-58.7831092185261,-27.4586787159484],[-58.7830992081224,-27.4586197346232],[-58.7830002361669,-27.4586329607655],[-58.7829897077202,-27.4585709271032],[-58.7828448027648,-27.4585902915216],[-58.7828230982209,-27.4584630187122],[-58.7828225507582,-27.4584630922235],[-58.7825669538213,-27.4584974128901]]]}"
