gid,nombre_plaza,ordenanza,clasificacion,id_barrios,nombre_barrio,ubicacion,st_asgeojson
342,"MARGARITA ""ÑATA"" BARRETO",7142,PLAZA,24,CONCEPCION,PROLONG. CALLE EL LIBERTADOR-PROLONG. CALLE HUMAHUACA-PROLONG. TUPUNGATO-PROLONG. CALLE LOS ANDES,"{""type"":""Polygon"",""coordinates"":[[[-58.8193188301439,-27.5004909392899],[-58.819320501627,-27.5011396741863],[-58.8202311758594,-27.5011378049969],[-58.8202296934864,-27.5005645852286],[-58.820073420914,-27.5004954585388],[-58.8193188301439,-27.5004909392899]]]}"
8,S/N,S/D,ESPACIO VERDE,1,17 DE AGOSTO,CNEL. ARTAZA-CERDEÑA-NAPOLES,"{""type"":""Polygon"",""coordinates"":[[[-58.7830028016355,-27.4920702173161],[-58.7826757234823,-27.49211015639],[-58.7824918867736,-27.4921326040915],[-58.7825404695593,-27.4924363072968],[-58.7833022781967,-27.4923432837334],[-58.7832516657089,-27.4920398283212],[-58.7830028016355,-27.4920702173161]]]}"
10,GDOR. JUAN GREGORIO PUJOL,6991,PLAZA,72,PUJOL,GUSTAVO MARTINEZ ZUBIRIA-FELIX DE AZARA-RAFAEL OBLIGADO-ZACARIAS SANCHEZ,"{""type"":""Polygon"",""coordinates"":[[[-58.8073640160473,-27.4653608310703],[-58.8075449379242,-27.4657213777207],[-58.8079444827305,-27.4655458472183],[-58.8077635597962,-27.4651853010459],[-58.8073640160473,-27.4653608310703]]]}"
65,S/N,S/D,ESPACIO VERDE,59,NTRA SRA DE LA ASUNCION,PALERMO-YUGOSLAVIA,"{""type"":""Polygon"",""coordinates"":[[[-58.7932212297346,-27.4966066892475],[-58.793354327297,-27.496925180903],[-58.7936106237516,-27.4968887560637],[-58.7934710943516,-27.4965550228396],[-58.7932212297346,-27.4966066892475]]]}"
9,DR. JOSE MIGUEL GUASTAVINO,845/69,PLAZOLETA,16,CAMBA CUA,25 DE MAYO-COSTANERA GRAL. SAN MARTIN-ENTRE RIOS,"{""type"":""Polygon"",""coordinates"":[[[-58.8440227811566,-27.4634714637736],[-58.8440235590469,-27.4634753340664],[-58.8440250785492,-27.4634790250683],[-58.8440272934942,-27.4634824246301],[-58.844030136582,-27.4634854294577],[-58.844033521427,-27.463487948251],[-58.8440373451821,-27.4634899044777],[-58.8440414916646,-27.4634912386987],[-58.8440458348856,-27.4634919103745],[-58.8440502428785,-27.4634918990964],[-58.8440503394091,-27.4634918911477],[-58.8441746952384,-27.4634814760427],[-58.8441790314196,-27.4634807691141],[-58.8441831641065,-27.4634794012661],[-58.8441869677295,-27.4634774140602],[-58.8441903267174,-27.4634748678766],[-58.8441931390091,-27.4634718400798],[-58.8441953191545,-27.4634684226681],[-58.844196800911,-27.4634647194777],[-58.8441975392563,-27.4634608430282],[-58.8441975117562,-27.4634569111037],[-58.8441967192463,-27.4634530431735],[-58.8441951858067,-27.4634493567629],[-58.8441934278024,-27.4634465755161],[-58.8441759323751,-27.4634221207736],[-58.8441589180814,-27.4633973973887],[-58.8441423901039,-27.4633724128927],[-58.8441263534769,-27.463347174896],[-58.844110813085,-27.4633216910868],[-58.8440957736619,-27.4632959692277],[-58.8440812397883,-27.4632700171539],[-58.8440672158911,-27.4632438427711],[-58.844053706242,-27.4632174540521],[-58.8440446820007,-27.4631991156196],[-58.844042619849,-27.4631956439944],[-58.8440399132066,-27.4631925445318],[-58.8440366443137,-27.4631899114072],[-58.8440329124937,-27.4631878246268],[-58.8440288311361,-27.4631863475965],[-58.8440245242509,-27.4631855251948],[-58.8440201227005,-27.4631853824102],[-58.8440157602237,-27.463185923581],[-58.8440115693721,-27.463187132264],[-58.8440076774825,-27.4631889717341],[-58.844004202808,-27.4631913860999],[-58.8440012509248,-27.4631943020021],[-58.8439989115243,-27.4631976308426],[-58.8439972556881,-27.4632012714762],[-58.843996333728,-27.4632051132842],[-58.8439961736573,-27.4632090395353],[-58.8439962437761,-27.4632099241317],[-58.8440227811566,-27.4634714637736]]]}"
343,"MARGARITA ""ÑATA"" BARRETO",7142,PLAZA,24,CONCEPCION,ACONCAGUA-PROLONG. CALLE LOS ANDES-PROLONG. TUPUNGATO,"{""type"":""Polygon"",""coordinates"":[[[-58.820381645626,-27.5006317955764],[-58.8203829542515,-27.501137492128],[-58.8215195765835,-27.5011351497099],[-58.820381645626,-27.5006317955764]]]}"
7,S/N,S/D,ESPACIO VERDE,80,SAN IGNACIO,SENADOR MANCINI-JUAN PABLO II-ENRIQUE JASID-PIO X,"{""type"":""Polygon"",""coordinates"":[[[-58.7675133204707,-27.4840707390683],[-58.7672457021124,-27.4840924557406],[-58.7672730720587,-27.4846448003711],[-58.7676093209986,-27.484607580279],[-58.7678300076088,-27.4845831515633],[-58.7675133204707,-27.4840707390683]]]}"
347,ROA MARIA ANGELICA,7281,ESPACIO VERDE,37,GUEMES INVICO,LAS HERAS-JOSE DARRAGUEIRA-LAMADRID,"{""type"":""Polygon"",""coordinates"":[[[-58.7973528694208,-27.4863299615537],[-58.7973112847581,-27.4860279608824],[-58.7969521729172,-27.486070049963],[-58.7969933001629,-27.4863692703227],[-58.7973528694208,-27.4863299615537]]]}"
1011,S/N,,ESPACIO VERDE,1,17 DE AGOSTO,RUBEN PALMEIRO-ALEJANDRO DUMAS-CERDEÑA-MILAN,"{""type"":""Polygon"",""coordinates"":[[[-58.7862265160936,-27.4916335878978],[-58.7863378303074,-27.492314996733],[-58.7853336274325,-27.4924506960258],[-58.7852774324334,-27.4921214848224],[-58.7852161130363,-27.4917631868895],[-58.7855179155084,-27.4917239359694],[-58.7862265160936,-27.4916335878978]]]}"
1013,S/N,,ESPACIO VERDE,1,17 DE AGOSTO,CNEL. ARTAZA-EL TREBOL-NAPOLES,"{""type"":""Polygon"",""coordinates"":[[[-58.7826812210158,-27.4886189584593],[-58.7823007989603,-27.4886685188342],[-58.7822964750321,-27.4886422677723],[-58.7822449308491,-27.4883292945473],[-58.7826253527726,-27.4882797333925],[-58.7826812210158,-27.4886189584593]]]}"
